タイムスタンプ,学籍番号,年次,性別,住んでいる場所,出身校は同志社系列ですか。それ以外ですか。,物事の考え方を教えてください（3はどちらでもないを表す）その１,物事の考え方を教えてください（3はどちらでもないを表す）その２,学部卒業後は進学・就職のどちらの予定ですか（2:進学より 3:どちらでもない 4:就職より）,（就職・就職よりを選んだ方）下記の職業への志望度はどのくらいですか [研究・開発職],（就職・就職よりを選んだ方）下記の職業への志望度はどのくらいですか [営業職],（就職・就職よりを選んだ方）下記の職業への志望度はどのくらいですか [コンサルティング職],（就職・就職よりを選んだ方）下記の職業への志望度はどのくらいですか [マネジメント職],（就職・就職よりを選んだ方）下記の職業への志望度はどのくらいですか [マーケティング職],（就職・就職よりを選んだ方）下記の職業への志望度はどのくらいですか [その他],履修の際、下記の観点をどの程度重視しましたか。 [将来・就職],履修の際、下記の観点をどの程度重視しましたか。 [自分の学びたい学問],履修の際、下記の観点をどの程度重視しましたか。 [講義の難易度],履修の際、下記の観点をどの程度重視しましたか。 [多くの人が履修],プログラミングは講義以外でどのくらいの頻度でしますか（3はどちらでもないを表す）
2021/08/06 23:58:32,1116191078,三回生,女性,大阪府,同志社系列,2,2,1,20%,0%,20%,0%,50%,80%,重視しない,かなり重視する,重視する,全く重視しない,2
2021/08/07 0:37:16,11161910160,三回生,女性,大阪府,同志社系列,4,2,5,80%,0%,80%,50%,0%,80%,どちらでもない,どちらでもない,重視する,重視する,1
2021/08/07 1:19:02,1116191062,三回生,男性,大阪府,それ以外,2,4,1,,,,,,,重視する,かなり重視する,どちらでもない,全く重視しない,5
2021/08/07 1:53:12,1116201066,二回生,男性,京都府,それ以外,4,3,1,,,,,,,重視しない,重視しない,重視しない,全く重視しない,1
2021/08/07 6:43:08,1116191074,三回生,男性,大阪府,それ以外,4,3,5,100%,0%,0%,0%,0%,,重視する,かなり重視する,どちらでもない,どちらでもない,4
2021/08/07 12:24:59,1116191013,三回生,女性,奈良県,同志社系列,4,2,3,,,,,,,重視する,重視する,重視する,重視する,1
2021/08/08 4:15:40,1116201032,二回生,男性,それ以外,それ以外,1,2,5,20%,80%,50%,50%,50%,80%,かなり重視する,重視しない,かなり重視する,重視しない,4
2021/08/09 4:41:22,1116201022,二回生,男性,兵庫県,それ以外,2,2,1,,,,,,,かなり重視する,重視する,どちらでもない,どちらでもない,3
2021/08/10 1:51:55,1116201055,二回生,男性,大阪府,同志社系列,3,4,5,50%,20%,20%,20%,20%,20%,全く重視しない,どちらでもない,重視する,重視する,5
2021/08/10 11:10:20,1116201035,二回生,男性,滋賀県,同志社系列,2,3,1,100%,20%,20%,20%,20%,20%,かなり重視する,かなり重視する,かなり重視する,かなり重視する,2
2021/08/20 7:00:00,1116191038,三回生,男性,京都府,同志社系列,2,3,2,,,,,,,重視する,重視する,重視する,重視しない,3
2021/08/22 7:56:43,1116181040,四回生,女性,大阪府,同志社系列,2,2,1,,,,,,,重視しない,重視しない,重視する,どちらでもない,2
2021/08/22 13:54:31,1116181051,四回生,男性,大阪府,それ以外,3,2,5,100%,0%,80%,0%,0%,0%,重視する,重視する,重視する,重視する,3
2021/08/26 13:25:52,1116191018,三回生,男性,京都府,それ以外,4,1,1,,,,,,,全く重視しない,かなり重視する,重視する,重視しない,4
2021/08/26 13:27:52,1116191034,三回生,男性,大阪府,それ以外,1,5,3,80%,0%,0%,0%,0%,,重視しない,かなり重視する,重視しない,重視しない,3
2021/08/26 16:24:58,1116191022,三回生,男性,兵庫県,同志社系列,4,4,1,,,,,,,どちらでもない,重視する,かなり重視する,重視する,3
2021/08/26 21:50:05,1116191005,三回生,女性,兵庫県,同志社系列,3,2,3,,,,,,,どちらでもない,どちらでもない,重視する,重視する,2
2021/08/29 3:34:34,1116181087,四回生,男性,大阪府,同志社系列,1,3,1,80%,20%,50%,50%,20%,50%,重視する,どちらでもない,重視する,重視しない,4
2021/08/29 4:01:27,1316200104,修士二回生以上,女性,大阪府,それ以外,2,4,5,80%,0%,0%,20%,0%,100%,どちらでもない,重視する,かなり重視する,重視する,4
2021/08/29 10:37:18,1116191026,三回生,男性,京都府,それ以外,4,5,5,100%,0%,0%,0%,0%,0%,重視する,重視しない,重視する,どちらでもない,5
2021/08/31 10:37:39,1316200135,修士二回生以上,女性,京都府,同志社系列,4,3,1,100%,0%,20%,0%,50%,0%,重視する,かなり重視する,かなり重視する,どちらでもない,4
2021/09/01 4:17:29,1G151011,四回生,男性,それ以外,それ以外,4,2,5,0%,80%,0%,80%,80%,80%,全く重視しない,重視する,かなり重視する,重視する,3
2021/09/01 5:38:28,1116181016,四回生,男性,大阪府,それ以外,4,4,5,0%,100%,80%,50%,50%,80%,重視する,重視する,かなり重視する,重視する,1
2021/09/01 6:06:36,1116181055,四回生,女性,大阪府,同志社系列,2,3,5,20%,20%,50%,20%,0%,0%,どちらでもない,全く重視しない,かなり重視する,重視する,1
2021/09/24 6:19:33,1116181080,四回生,男性,京都府,同志社系列,5,3,5,100%,0%,0%,0%,0%,0%,全く重視しない,どちらでもない,かなり重視する,かなり重視する,2
2021/10/22 7:37:04,1116181022,四回生,男性,京都府,それ以外,2,4,1,0%,80%,80%,50%,50%,50%,どちらでもない,重視する,かなり重視する,かなり重視する,1
2021/11/13 16:02:20,1116181038,四回生,男性,奈良県,それ以外,2,4,5,100%,0%,0%,0%,0%,0%,重視する,重視する,かなり重視する,かなり重視する,4
