タイムスタンプ,学籍番号を入力お願いします,講義の難易度,情報工学の知識習得に役立ちましたか,プログラミングの知識習得に役立ちましたか,英語の知識習得に役立ちましたか,社会に対する学びはどの程度ありましたか,人間に対する学びはどの程度ありましたか,グループワークは多いですか,成績の付け方は試験重視ですか。レポート重視ですか。,科目の満足度はどのくらいですか,講義の難易度,情報工学の知識習得に役立ちましたか,プログラミングの知識習得に役立ちましたか,英語の知識習得に役立ちましたか,社会に対する学びはどの程度ありましたか,人間に対する学びはどの程度ありましたか,グループワークは多いですか,成績の付け方は試験重視ですか。レポート重視ですか。,科目の満足度はどのくらいですか,講義の難易度,情報工学の知識習得に役立ちましたか,プログラミングの知識習得に役立ちましたか,英語の知識習得に役立ちましたか,社会に対する学びはどの程度ありましたか,人間に対する学びはどの程度ありましたか,グループワークは多いですか,成績の付け方は試験重視ですか。レポート重視ですか。,科目の満足度はどのくらいですか,講義の難易度,情報工学の知識習得に役立ちましたか,プログラミングの知識習得に役立ちましたか,英語の知識習得に役立ちましたか,社会に対する学びはどの程度ありましたか,人間に対する学びはどの程度ありましたか,グループワークは多いですか,成績の付け方は試験重視ですか。レポート重視ですか。,科目の満足度はどのくらいですか,講義の難易度,情報工学の知識習得に役立ちましたか,プログラミングの知識習得に役立ちましたか,英語の知識習得に役立ちましたか,社会に対する学びはどの程度ありましたか,人間に対する学びはどの程度ありましたか,グループワークは多いですか,成績の付け方は試験重視ですか。レポート重視ですか。,科目の満足度はどのくらいですか,講義の難易度,情報工学の知識習得に役立ちましたか,プログラミングの知識習得に役立ちましたか,英語の知識習得に役立ちましたか,社会に対する学びはどの程度ありましたか,人間に対する学びはどの程度ありましたか,グループワークは多いですか,成績の付け方は試験重視ですか。レポート重視ですか。,科目の満足度はどのくらいですか,講義の難易度,情報工学の知識習得に役立ちましたか,プログラミングの知識習得に役立ちましたか,英語の知識習得に役立ちましたか,社会に対する学びはどの程度ありましたか,人間に対する学びはどの程度ありましたか,グループワークは多いですか,成績の付け方は試験重視ですか。レポート重視ですか。,科目の満足度はどのくらいですか,講義の難易度,情報工学の知識習得に役立ちましたか,プログラミングの知識習得に役立ちましたか,英語の知識習得に役立ちましたか,社会に対する学びはどの程度ありましたか,人間に対する学びはどの程度ありましたか,グループワークは多いですか,成績の付け方は試験重視ですか。レポート重視ですか。,科目の満足度はどのくらいですか,講義の難易度,情報工学の知識習得に役立ちましたか,プログラミングの知識習得に役立ちましたか,英語の知識習得に役立ちましたか,社会に対する学びはどの程度ありましたか,人間に対する学びはどの程度ありましたか,グループワークは多いですか,成績の付け方は試験重視ですか。レポート重視ですか。,科目の満足度はどのくらいですか,講義の難易度,情報工学の知識習得に役立ちましたか,プログラミングの知識習得に役立ちましたか,英語の知識習得に役立ちましたか,社会に対する学びはどの程度ありましたか,人間に対する学びはどの程度ありましたか,グループワークは多いですか,成績の付け方は試験重視ですか。レポート重視ですか。,科目の満足度はどのくらいですか,講義の難易度,情報工学の知識習得に役立ちましたか,プログラミングの知識習得に役立ちましたか,英語の知識習得に役立ちましたか,社会に対する学びはどの程度ありましたか,人間に対する学びはどの程度ありましたか,グループワークは多いですか,成績の付け方は試験重視ですか。レポート重視ですか。,科目の満足度はどのくらいですか,講義の難易度,情報工学の知識習得に役立ちましたか,プログラミングの知識習得に役立ちましたか,英語の知識習得に役立ちましたか,社会に対する学びはどの程度ありましたか,人間に対する学びはどの程度ありましたか,グループワークは多いですか,成績の付け方は試験重視ですか。レポート重視ですか。,科目の満足度はどのくらいですか,講義の難易度,情報工学の知識習得に役立ちましたか,プログラミングの知識習得に役立ちましたか,英語の知識習得に役立ちましたか,社会に対する学びはどの程度ありましたか,人間に対する学びはどの程度ありましたか,グループワークは多いですか,成績の付け方は試験重視ですか。レポート重視ですか。,科目の満足度はどのくらいですか,講義の難易度,情報工学の知識習得に役立ちましたか,プログラミングの知識習得に役立ちましたか,英語の知識習得に役立ちましたか,社会に対する学びはどの程度ありましたか,人間に対する学びはどの程度ありましたか,グループワークは多いですか,成績の付け方は試験重視ですか。レポート重視ですか。,科目の満足度はどのくらいですか,講義の難易度,情報工学の知識習得に役立ちましたか,プログラミングの知識習得に役立ちましたか,英語の知識習得に役立ちましたか,社会に対する学びはどの程度ありましたか,人間に対する学びはどの程度ありましたか,グループワークは多いですか,成績の付け方は試験重視ですか。レポート重視ですか。,科目の満足度はどのくらいですか
2021/08/22 17:29:26,1116191038,,,,,,,,,,3,4,3,1,3,3,5,試験重視,4,,,,,,,,,,,,,,,,,,,5,3,1,1,1,1,1,試験重視,3,4,3,1,3,5,5,5,レポート重視,4,,,,,,,,,,5,4,3,1,3,2,1,試験重視,4,4,4,4,1,1,1,1,試験重視,4,3,3,1,3,5,5,3,レポート重視,4,,,,,,,,,,5,3,2,1,1,1,1,レポート重視,4,5,3,2,1,1,1,1,試験重視,4,2,4,5,3,1,1,1,レポート重視,3,,,,,,,,,
2021/08/22 17:39:20,1116181040,,,,,,,,,,2,4,3,1,3,3,4,試験重視,4,,,,,,,,,,,,,,,,,,,3,1,1,1,1,1,1,試験とレポート,3,2,4,1,1,5,5,5,レポート重視,5,,,,,,,,,,4,5,4,1,2,2,1,試験とレポート,4,4,5,4,1,1,1,1,試験重視,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5,3,1,2,3,1,試験とレポート,4,,,,,,,,,,,,,,,,,,
2021/08/22 22:00:43,1116191013,,,,,,,,,,4,4,2,1,2,2,4,試験とレポート,4,,,,,,,,,,,,,,,,,,,5,1,1,1,1,1,1,レポート重視,2,1,5,2,2,5,5,4,レポート重視,5,,,,,,,,,,5,3,2,2,1,1,1,レポート重視,2,4,2,1,1,1,1,1,試験とレポート,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2,1,1,1,1,2,試験とレポート,2,5,4,5,5,1,1,2,レポート重視,4,,,,,,,,,
2021/08/22 22:59:06,1116181051,3,1,1,1,1,1,1,試験重視,3,4,4,2,1,1,1,1,試験とレポート,4,,,,,,,,,,5,1,1,1,1,1,1,試験とレポート,2,,,,,,,,,,1,4,1,1,5,5,4,レポート重視,4,,,,,,,,,,3,3,1,1,1,1,1,試験とレポート,4,2,1,1,1,1,1,1,試験とレポート,4,2,1,1,1,5,5,3,レポート重視,4,,,,,,,,,,5,3,1,1,1,1,1,試験重視,2,3,2,1,1,1,1,1,試験重視,3,2,4,5,3,1,1,1,試験重視,4,,,,,,,,,
2021/08/23 16:05:32,1116191074,,,,,,,,,,4,4,2,2,2,1,3,試験重視,3,,,,,,,,,,,,,,,,,,,1,2,1,1,1,1,1,試験重視,4,,,,,,,,,,,,,,,,,,,4,4,4,2,2,1,1,試験とレポート,4,4,3,1,1,1,1,1,試験重視,3,,,,,,,,,,,,,,,,,,,5,2,1,1,1,1,1,試験重視,2,3,2,1,1,1,1,1,試験重視,3,2,4,4,4,2,1,1,試験重視,4,,,,,,,,,
2021/08/26 22:31:34,1116191018,2,1,1,1,2,2,1,試験重視,4,2,4,3,1,4,2,4,試験とレポート,4,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,試験とレポート,3,2,4,1,1,4,4,2,レポート重視,3,,,,,,,,,,4,4,3,1,1,1,1,試験とレポート,4,1,1,1,1,1,1,1,試験重視,3,,,,,,,,,,4,1,1,1,1,1,1,試験重視,4,5,4,1,1,1,1,1,試験重視,4,,,,,,,,,,2,4,4,4,2,1,1,試験重視,4,,,,,,,,,
2021/08/26 22:31:47,1116191034,,,,,,,,,,3,4,2,2,4,2,3,試験重視,3,,,,,,,,,,,,,,,,,,,4,2,2,2,2,2,2,試験重視,2,1,3,1,1,4,4,3,レポート重視,3,,,,,,,,,,5,3,2,1,1,1,1,試験重視,1,3,5,4,1,1,1,1,試験重視,1,,,,,,,,,,,,,,,,,,,4,4,3,1,1,1,1,試験とレポート,,3,3,3,1,1,1,1,試験重視,2,1,4,4,4,1,1,1,レポート重視,1,,,,,,,,,
2021/08/27 1:31:29,1116191022,,,,,,,,,,1,4,3,2,3,2,3,試験とレポート,3,,,,,,,,,,,,,,,,,,,4,2,2,1,1,1,1,試験重視,2,2,4,2,2,4,5,3,レポート重視,4,,,,,,,,,,2,4,3,1,2,2,1,試験とレポート,4,1,3,1,1,1,1,1,試験とレポート,3,,,,,,,,,,4,3,1,1,1,1,1,試験とレポート,3,2,2,3,1,1,1,1,試験とレポート,3,2,4,3,1,1,1,1,試験とレポート,3,1,4,4,3,2,2,1,試験重視,4,,,,,,,,,
2021/08/27 6:57:15,1116191005,,,,,,,,,,2,4,3,1,2,2,5,試験とレポート,4,,,,,,,,,,,,,,,,,,,5,2,1,1,1,1,3,試験重視,3,1,5,1,1,5,5,2,レポート重視,5,,,,,,,,,,5,5,2,2,2,2,3,試験とレポート,4,2,3,2,1,2,2,3,試験とレポート,2,,,,,,,,,,,,,,,,,,,5,4,1,1,2,2,3,試験重視,3,2,4,2,1,2,2,3,試験重視,3,2,5,5,3,2,2,3,レポート重視,5,,,,,,,,,
2021/08/29 12:52:38,1116181087,,,,,,,,,,3,4,3,2,2,2,3,試験とレポート,4,,,,,,,,,,,,,,,,,,,4,2,1,1,1,1,1,試験重視,2,1,4,1,2,4,4,5,,4,,,,,,,,,,4,4,4,2,2,2,1,試験とレポート,3,4,4,1,2,1,1,1,試験重視,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,3,1,1,1,1,試験とレポート,2,3,4,4,3,3,1,1,試験重視,4,,,,,,,,,
